"Datetime (date and time of sample collection)","Days since 741001","Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Month",,,,
02/23/1975 18:00,145.75000,0.02,10100.0,699.0,0.890,0.070,5.90,-9.000,22.0,2,,,,
02/23/1975 18:30,145.77083,0.02,10300.0,644.0,0.900,0.070,5.80,-9.000,21.8,2,,,,
02/23/1975 19:00,145.79167,0.28,10500.0,734.0,0.920,0.080,5.70,-9.000,21.5,2,,,,
02/24/1975 08:00,146.33333,0.92,14800.0,850.0,1.130,0.075,4.84,-9.000,19.0,2,,,,
02/25/1975 00:00,147.00000,0.25,15400.0,595.0,0.925,0.052,4.20,-9.000,16.0,2,,,,
02/25/1975 15:00,147.62500,0.71,15300.0,384.0,0.601,0.040,1.92,-9.000,18.0,2,,,,
02/25/1975 18:00,147.75000,0.19,15500.0,760.0,1.060,0.062,4.24,-9.000,16.0,2,,,,
02/26/1975 00:00,148.00000,0.25,14900.0,554.0,0.883,0.074,3.76,-9.000,16.0,2,,,,
02/26/1975 06:00,148.25000,0.75,15400.0,708.0,1.050,0.068,3.98,-9.000,15.0,2,,,,
02/26/1975 12:00,148.50000,0.25,15700.0,639.0,1.030,0.070,3.86,-9.000,15.0,2,,,,
02/26/1975 18:00,148.75000,0.25,15300.0,513.0,0.828,0.053,3.76,-9.000,15.0,2,,,,
02/27/1975 00:00,149.00000,0.25,8140.0,314.0,0.622,0.074,4.26,-9.000,18.0,2,,,,
02/27/1975 06:00,149.25000,0.75,13900.0,477.0,0.784,0.066,3.78,-9.000,16.0,2,,,,
02/27/1975 12:00,149.50000,0.25,12300.0,290.0,0.609,0.061,3.80,-9.000,16.0,2,,,,
02/27/1975 18:00,149.75000,0.38,10100.0,368.0,0.645,0.077,4.02,-9.000,17.0,2,,,,
02/28/1975 06:00,150.25000,0.75,6720.0,207.0,0.483,0.071,4.30,-9.000,19.0,2,,,,
02/28/1975 12:00,150.50000,0.67,5520.0,205.0,0.506,0.082,4.56,-9.000,21.0,2,,,,
03/01/1975 14:00,151.58333,0.67,2270.0,154.0,0.360,0.063,2.29,-9.000,21.7,3,,,,
03/01/1975 20:00,151.83333,0.25,2060.0,158.0,0.345,0.062,2.39,-9.000,26.7,3,,,,
03/02/1975 02:00,152.08333,0.25,1850.0,105.0,0.275,0.064,2.26,-9.000,27.5,3,,,,
03/02/1975 08:00,152.33333,0.25,1710.0,123.0,0.305,0.069,2.38,-9.000,29.0,3,,,,
03/02/1975 14:00,152.58333,0.25,1610.0,111.0,0.290,0.068,2.33,-9.000,29.5,3,,,,
03/02/1975 20:00,152.83333,0.25,1500.0,87.4,0.235,0.059,2.24,-9.000,29.5,3,,,,
03/03/1975 02:00,153.08333,0.25,1500.0,86.8,0.255,0.065,2.29,-9.000,31.0,3,,,,
03/03/1975 08:00,153.33333,0.25,1290.0,98.7,0.265,0.068,2.27,-9.000,31.3,3,,,,
03/03/1975 14:00,153.58333,0.25,1220.0,84.4,0.230,0.065,2.22,-9.000,30.9,3,,,,
03/03/1975 20:00,153.83333,0.25,1130.0,66.3,0.235,0.065,2.23,-9.000,31.0,3,,,,
03/04/1975 02:00,154.08333,0.38,1070.0,83.2,0.220,0.063,2.24,-9.000,32.0,3,,,,
03/04/1975 14:00,154.58333,0.38,950.0,66.6,0.200,0.065,2.25,-9.000,31.8,3,,,,
03/04/1975 20:00,154.83333,0.25,896.0,48.4,0.220,0.067,2.20,-9.000,32.5,3,,,,
03/05/1975 02:00,155.08333,0.25,843.0,38.5,0.185,0.060,2.23,-9.000,31.9,3,,,,
03/05/1975 08:00,155.33333,0.25,771.0,60.7,0.195,0.065,2.19,-9.000,33.0,3,,,,
03/05/1975 14:00,155.58333,0.25,707.0,58.9,0.200,0.074,2.23,-9.000,35.0,3,,,,
03/05/1975 20:00,155.83333,0.25,579.0,32.7,0.180,0.067,2.19,-9.000,34.5,3,,,,
03/06/1975 02:00,156.08333,0.25,515.0,37.1,0.180,0.066,2.16,-9.000,35.5,3,,,,
03/06/1975 08:00,156.33333,0.25,504.0,50.1,0.180,0.066,2.22,-9.000,36.2,3,,,,
03/06/1975 14:00,156.58333,0.25,525.0,40.0,0.155,0.053,2.09,-9.000,35.9,3,,,,
03/06/1975 20:00,156.83333,0.25,546.0,43.7,0.170,0.062,2.11,-9.000,36.1,3,,,,
03/07/1975 02:00,157.08333,0.25,566.0,37.5,0.155,0.062,2.17,-9.000,36.5,3,,,,
03/07/1975 08:00,157.33333,0.25,556.0,32.8,0.140,0.054,2.08,-9.000,36.1,3,,,,
03/07/1975 14:00,157.58333,0.25,483.0,40.9,0.170,0.064,2.30,-9.000,43.0,3,,,,
03/07/1975 20:00,157.83333,0.25,883.0,46.3,0.185,0.078,2.52,-9.000,44.0,3,,,,
03/08/1975 02:00,158.08333,0.25,1410.0,44.5,0.150,0.057,2.39,-9.000,41.7,3,,,,
03/08/1975 08:00,158.33333,1.28,2530.0,80.6,0.210,0.070,2.50,-9.000,42.2,3,,,,
03/10/1975 15:30,160.64583,1.28,2140.0,302.0,0.530,0.065,5.04,-9.000,26.0,3,,,,
03/10/1975 21:30,160.89583,0.25,1920.0,142.0,0.330,0.060,5.30,-9.000,25.0,3,,,,
03/11/1975 03:30,161.14583,0.25,1710.0,113.0,0.360,0.060,5.40,-9.000,27.0,3,,,,
03/11/1975 09:30,161.39583,0.25,1560.0,136.0,0.340,0.068,5.48,-9.000,28.0,3,,,,
03/11/1975 15:30,161.64583,0.63,1450.0,77.0,0.250,0.052,5.49,-9.000,28.5,3,,,,
03/12/1975 15:30,162.64583,1.00,1240.0,66.8,0.220,0.064,5.60,-9.000,29.5,3,,,,
03/13/1975 15:30,163.64583,1.00,1580.0,54.0,0.170,0.063,5.35,-9.000,32.0,3,,,,
03/14/1975 15:30,164.64583,1.00,2270.0,39.2,0.140,0.050,5.14,-9.000,30.0,3,,,,
03/15/1975 15:30,165.64583,1.00,1730.0,75.7,0.210,0.070,5.54,-9.000,31.0,3,,,,
03/16/1975 15:30,166.64583,0.88,1270.0,79.6,0.220,0.065,5.64,-9.000,33.0,3,,,,
03/17/1975 09:30,167.39583,0.86,1250.0,49.4,0.180,0.067,5.66,-9.000,33.0,3,,,,
03/18/1975 09:00,168.37500,0.99,1560.0,64.0,-9.000,0.039,5.09,-9.000,42.0,3,,,,
03/19/1975 09:00,169.37500,1.00,2450.0,69.2,0.190,0.051,4.99,-9.000,53.0,3,,,,
03/20/1975 09:00,170.37500,1.00,3010.0,97.0,0.210,0.050,5.21,-9.000,40.0,3,,,,
03/21/1975 09:00,171.37500,1.00,2310.0,52.9,0.175,0.042,4.82,-9.000,40.0,3,,,,
03/22/1975 09:00,172.37500,1.00,1660.0,42.6,0.160,0.034,5.00,-9.000,40.0,3,,,,
03/23/1975 09:00,173.37500,0.75,1190.0,33.1,0.140,0.039,4.85,-9.000,43.0,3,,,,
03/23/1975 21:00,173.87500,0.38,1020.0,26.9,0.130,0.042,4.79,-9.000,45.0,3,,,,
03/24/1975 03:00,174.12500,0.25,979.0,35.3,-9.000,0.049,4.59,-9.000,46.0,3,,,,
